Ref,Val,Package,PosX,PosY,Rot,Side
"MX1","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",-81.173200,-71.125400,0.000000,top
"MX2","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",-62.071200,-71.120000,0.000000,top
"MX3","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",-43.073300,-71.125400,0.000000,top
"MX4","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",-62.071200,-52.070000,0.000000,top
"MX5","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",-81.121300,-24.447500,0.000000,top
"MX6","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",-62.071300,-24.447500,0.000000,top
"MX7","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",-43.021300,-24.447500,0.000000,top
"MX8","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_2.00u",-14.605000,-109.696200,0.000000,top
"MX9","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",13.176200,-76.835000,0.000000,top
"MX10","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",32.226200,-71.596200,0.000000,top
"MX11","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",51.276200,-71.596200,0.000000,top
"MX12","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",70.326200,-76.835000,0.000000,top
"MX13","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",13.176200,-57.785000,0.000000,top
"MX14","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",32.226200,-52.546200,0.000000,top
"MX15","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",51.276200,-52.546200,0.000000,top
"MX16","MX-NoLED","SW_Hotswap_Kailh_MX_Plated_1.00u",70.326200,-57.785000,0.000000,top
