Designator,Mid X,Mid Y,Rotation,Layer
C1,55.56255,-33.3375,180.0,bottom
C10,130.96875,-80.1687,0.0,bottom
C11,150.01875,-80.1687,0.0,bottom
C12,169.06875,-85.725,0.0,bottom
C13,111.91875,-66.675,180.0,bottom
C14,130.96875,-61.1187,180.0,bottom
C15,150.01875,-61.1187,180.0,bottom
C16,169.06875,-66.675,180.0,bottom
C17,168.275,-3.175,0.0,bottom
C2,36.51255,-33.3375,180.0,bottom
C3,17.46255,-33.3375,180.0,bottom
C4,14.60705,-75.6541,348.0,bottom
C5,33.24075,-79.6148,348.0,bottom
C6,51.87455,-83.5756,348.0,bottom
C7,84.13755,-119.0625,0.0,bottom
C8,37.20155,-60.9811,348.0,bottom
C9,111.91875,-85.725,0.0,bottom
D1,15.18625,-72.2896,348.0,bottom
D10,130.96875,-77.2795,0.0,bottom
D11,150.01875,-77.2795,0.0,bottom
D12,169.06875,-82.55,0.0,bottom
D13,111.91875,-63.5,180.0,bottom
D14,130.96875,-57.94375,180.0,bottom
D15,150.01875,-57.94375,180.0,bottom
D16,169.06875,-63.5,180.0,bottom
D2,33.95005,-76.278,348.0,bottom
D3,52.56395,-80.3318,348.0,bottom
D4,38.08195,-57.4209,348.0,bottom
D5,17.46255,-30.0355,180.0,bottom
D6,36.51255,-30.0355,180.0,bottom
D7,55.56255,-30.0355,180.0,bottom
D8,84.05445,-115.6509,0.0,bottom
D9,111.98115,-82.5515,0.0,bottom
MX1,16.37045,-67.1082,348.0,top
MX10,130.96875,-71.9137,0.0,top
MX11,150.01875,-71.9137,0.0,top
MX12,169.06875,-77.1525,0.0,top
MX13,111.91875,-58.1025,0.0,top
MX14,130.96875,-52.8637,0.0,top
MX15,150.01875,-52.8637,0.0,top
MX16,169.06875,-58.1025,0.0,top
MX2,35.05615,-71.0744,348.0,top
MX3,53.63775,-75.0296,348.0,top
MX4,39.01685,-52.4407,348.0,top
MX5,17.46245,-24.765,0.0,top
MX6,36.51245,-24.765,0.0,top
MX7,55.56245,-24.765,0.0,top
MX8,83.97875,-110.0137,0.0,top
MX9,111.91875,-77.1525,0.0,top
R1,165.1,-5.55625,90.0,bottom
U1,160.17875,-23.8125,90.0,bottom
U2,168.275,-5.55625,180.0,bottom
